#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Neoboletus magnificus,Eukaryota;Fungi;Basidiomycetes,MG22,SAMN09010637,PRJNA454572,GCA_003316145.1,Scaffold,40.0589,0,,QFEI01,7975,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/145/GCA_003316145.1_ASM331614v1,,
Neoboletus brunneissimus,Eukaryota;Fungi;Basidiomycetes,MG7,SAMN09010634,PRJNA454572,GCA_003316195.1,Scaffold,50.5397,0,,QFEL01,13906,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/195/GCA_003316195.1_ASM331619v1,,
Boletus bicolor,Eukaryota;Fungi;Basidiomycetes,MG1,SAMN09010633,PRJNA454572,GCA_003316205.1,Scaffold,47.8763,0,,QFEM01,15587,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/205/GCA_003316205.1_ASM331620v1,,
Tylopilus plumbeoviolaceoides,Eukaryota;Fungi;Basidiomycetes,MG33,SAMN09010714,PRJNA454572,GCA_003316375.1,Scaffold,49.9791,0,,QFES01,13496,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/375/GCA_003316375.1_ASM331637v1,,
Thelephora aurantiotincta,Eukaryota;Fungi;Basidiomycetes,MG58,SAMN09010703,PRJNA454572,GCA_003316405.1,Scaffold,29.4133,0,,QFEV01,9339,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/405/GCA_003316405.1_ASM331640v1,,
Tricholoma terreum,Eukaryota;Fungi;Basidiomycetes,MG45,SAMN09010709,PRJNA454572,GCA_003316345.1,Scaffold,84.4378,0,,QFEU01,25404,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/345/GCA_003316345.1_ASM331634v1,,
Suillus alpinus,Eukaryota;Fungi;Basidiomycetes,MG64,SAMN09010694,PRJNA454572,GCA_003316505.1,Scaffold,37.9343,0,,QFEX01,6446,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/505/GCA_003316505.1_ASM331650v1,,
Chiua virens,Eukaryota;Fungi;Basidiomycetes,LA06,SAMN17925297,PRJNA702113,GCA_019787685.1,Contig,48.4968,48.9,,JAHNUO01,149,11148,2021-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/787/685/GCA_019787685.1_ASM1978768v1,,
Pulveroboletus ravenelii,Eukaryota;Fungi;Basidiomycetes,MG41,SAMN09010681,PRJNA454572,GCA_003316545.1,Scaffold,45.2799,0,,QFFC01,10584,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/545/GCA_003316545.1_ASM331654v1,,
Ramaria cf. rubripermanens,Eukaryota;Fungi;Basidiomycetes,MG17,SAMN09010682,PRJNA454572,GCA_003316465.1,Scaffold,85.574,0,,QFFB01,25797,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/465/GCA_003316465.1_ASM331646v1,,
Termitomyces eurrhizus,Eukaryota;Fungi;Basidiomycetes,MG13,SAMN09010698,PRJNA454572,GCA_003316525.1,Scaffold,85.8902,0,,QFEW01,29607,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/525/GCA_003316525.1_ASM331652v1,,
Amanita pseudoporphyria,Eukaryota;Fungi;Basidiomycetes,MG37,SAMN09010630,PRJNA454572,GCA_003316615.1,Scaffold,52.4855,0,,QFEO01,17345,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/615/GCA_003316615.1_ASM331661v1,,
Tuber calosporum,Eukaryota;Fungi;Ascomycetes,MG102,SAMN09010711,PRJNA454572,GCA_003316355.1,Scaffold,171.988,0,,QFET01,26186,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/355/GCA_003316355.1_ASM331635v1,,
Agrocybe cylindracea,Eukaryota;Fungi;Basidiomycetes,AC9,SAMN06013850,PRJNA353318,GCA_013376435.1,Scaffold,56.4888,50.2,,MPNV01,3790,0,2020-06-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/376/435/GCA_013376435.1_ASM1337643v1,,
Rhizopus azygosporus,Eukaryota;Fungi;Other Fungi,CBS 357.93,SAMN08014123,PRJNA418064,GCA_003325435.1,Scaffold,39.023,37.1,,PJQL01,5775,15894,2018-07-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/435/GCA_003325435.1_Razy_CA,,20
Gomphus bonarii,Eukaryota;Fungi;Basidiomycetes,MG147,SAMN09010651,PRJNA454572,GCA_003316585.1,Scaffold,116.109,0,,QFEC01,83801,0,2018-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/585/GCA_003316585.1_ASM331658v1,,
Drosophila athabasca,Eukaryota;Animals;Insects,NJ28,SAMN12204587,PRJNA636507,GCA_008121215.1, Chromosome,192.661,43.8803,chromosome 2:CM017793.1; chromosome 4:CM017794.1; chromosome 5:CM017795.1; chromosome X:CM017796.1,VMQQ01,119,0,2019-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/121/215/GCA_008121215.1_UCBerk_Dath_EB_1.0,,
Nothoprocta perdicaria,Eukaryota;Animals;Birds,Ctin4,SAMN08476459,PRJNA484763,GCA_003342845.1,Scaffold,965.904,42.1,,PTEW01,2217,21504,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/845/GCA_003342845.1_notPer1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/342/845/GCF_003342845.1_notPer1,
Apteryx rowi,Eukaryota;Animals;Birds,R43461,SAMN08476454,PRJNA484763,GCA_003343035.1,Scaffold,1228.9,41.6,,PTFB01,4120,37618,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/343/035/GCA_003343035.1_aptRow1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/343/035/GCF_003343035.1_aptRow1,
Pichia norvegensis,Eukaryota;Fungi;Ascomycetes,NRRL Y-7687,SAMN08343423,PRJNA429441,GCA_003705465.1,Scaffold,10.2698,35.9,,PPIO01,856,0,2018-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/705/465/GCA_003705465.1_ASM370546v1,,25
Pichia fermentans,Eukaryota;Fungi;Ascomycetes,fo/MP/02,SAMN08898700,PRJNA449365,GCA_003339355.1,Scaffold,10.5686,41.6,,QAWB01,714,0,2018-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/339/355/GCA_003339355.1_UCD_Pferm_PL1,,25
Ophiocordyceps camponoti-leonardi (nom. inval.),Eukaryota;Fungi;Ascomycetes,BCC 80369,SAMN07662903,PRJNA407765,GCA_003339455.1,Scaffold,37.91,45.9,,PDHP01,531,7046,2018-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/339/455/GCA_003339455.1_ASM333945v1,,
Ophiocordyceps camponoti-saundersi (nom. inval.),Eukaryota;Fungi;Ascomycetes,BCC 79314,SAMN07662932,PRJNA407765,GCA_003339415.1,Scaffold,49.2653,40,,PDHQ01,1700,6946,2018-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/339/415/GCA_003339415.1_ASM333941v1,,
Naegleria lovaniensis,Eukaryota;Protists;Other Protists,ATCC 30569,SAMN08798945,PRJNA445795,GCA_003324165.2,Scaffold,30.8787,36.8796,plasmid p_rDNA:CM010402.1; mitochondrion MT:CM010401.2,PYSW02,111,14764,2018-07-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/165/GCA_003324165.2_Nlova_2.1,,
Trichoplax sp. H2,Eukaryota;Animals;Other Animals,Panama,SAMN07333237,PRJNA393433,GCA_003344405.1,Scaffold,94.8787,32.7,,NOWV01,1128,12174,2018-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/405/GCA_003344405.1_TrispH2_1.0,,
Sphaceloma murrayae,Eukaryota;Fungi;Ascomycetes,CQ-2017a,SAMN07200639,PRJNA385043,GCA_002895985.1,Scaffold,20.7187,54.5,,NKHZ01,98,8256,2018-01-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/985/GCA_002895985.1_ASM289598v1,,
Aspergillus welwitschiae,Eukaryota;Fungi;Ascomycetes,CBS 139.54b,SAMN05446521,PRJNA495497,GCA_003344945.1,Scaffold,37.5119,49.7,,QQZQ01,396,13684,2018-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/945/GCA_003344945.1_Aspwel1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/945/GCF_003344945.1_Aspwel1,24
Glossosoma conforme,Eukaryota;Animals;Insects,KL113P2_17,SAMN08721893,PRJNA408022,GCA_003347265.1,Scaffold,604.294,34.3,,PZYU01,119821,0,2018-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/347/265/GCA_003347265.1_ASM334726v1,,
Cystobasidiaceae sp. HBUAS51001,Eukaryota;Fungi;Basidiomycetes,HBUAS51001,SAMN09519170,PRJNA478524,GCA_003351005.1,Scaffold,42.4283,53.9,,QOZY01,316,0,2018-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/351/005/GCA_003351005.1_ASM335100v1,,
Aspergillus phoenicis ATCC 13157,Eukaryota;Fungi;Ascomycetes,ATCC 13157,SAMN02744683,PRJNA209548,GCA_003344505.1,Scaffold,35.7535,49.5,,QQUR01,55,11972,2018-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/505/GCA_003344505.1_Aspph1,,25
Fusarium fracticaudum,Eukaryota;Fungi;Ascomycetes,CBS 137234,SAMN07718294,PRJNA412578,GCA_003353625.1,Scaffold,46.2528,47.6,,PDNT01,50,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/625/GCA_003353625.1_ASM335362v1,,
Talaromyces borbonicus,Eukaryota;Fungi;Ascomycetes,SV-2017a,SAMN06579453,PRJNA379116,GCA_002916415.1,Scaffold,27.0504,46.1,,NBSA01,28,0,2018-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/916/415/GCA_002916415.1_ASM291641v1,,
Quillaja saponaria,Eukaryota;Plants;Land Plants,MT-C,SAMN07812699,PRJNA415043,GCA_003338715.1,Contig,248.908,34.2,,PVLG01,48349,0,2018-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/338/715/GCA_003338715.1_Draft.Quillaja.v1.0,,
Mus spicilegus,Eukaryota;Animals;Mammals,ZRU,SAMN08141584,PRJNA421365,GCA_003336285.1,Scaffold,2496.08,0,,QGOO01,37536,0,2018-07-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/285/GCA_003336285.1_MUSP714,,
Globobulimina sp.,Eukaryota;Protists;Other Protists,GF15,SAMN07821824,PRJNA415343,GCA_003354225.1,Contig,70.2264,34.3,,PIVH01,48370,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/354/225/GCA_003354225.1_ASM335422v1,,
Ageneiosus marmoratus,Eukaryota;Animals;Fishes,Aqua-BC-2015,SAMN08271869,PRJNA427361,GCA_003347165.1,Scaffold,1030,26.5,,QQRV01,16063,0,2018-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/347/165/GCA_003347165.1_ASM334716v1,,
Coleophoma crateriformis,Eukaryota;Fungi;Ascomycetes,BP5796,SAMN07177961,PRJNA388491,GCA_003369635.1,Scaffold,40.652,48.2,,PDLN01,45,13257,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/369/635/GCA_003369635.1_ASM336963v1,,
Aspergillus mulundensis,Eukaryota;Fungi;Ascomycetes,DSM 5745,SAMN07195632,PRJNA495496,GCA_003369625.1,Scaffold,45.3419,43.4,,PVWQ01,160,11603,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/369/625/GCA_003369625.1_ASM336962v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/625/GCF_003369625.1_ASM336962v1,
Coleophoma cylindrospora,Eukaryota;Fungi;Ascomycetes,BP6252,SAMN07195328,PRJNA389322,GCA_003369665.1,Scaffold,42.4808,48.6,,PDLM01,77,14177,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/369/665/GCA_003369665.1_ASM336966v1,,
Bos indicus x Bos taurus,Eukaryota;Animals;Mammals,,SAMN08473802,PRJNA508959,GCA_003369695.2, Chromosome,2680.95,41.8269,chromosome 1:NC_040076.1/CM011804.1; chromosome 2:NC_040077.1/CM011805.1; chromosome 3:NC_040078.1/CM011806.1; chromosome 4:NC_040079.1/CM011807.1; chromosome 5:NC_040080.1/CM011808.1; chromosome 6:NC_040081.1/CM011809.1; chromosome 7:NC_040082.1/CM011810.1; chromosome 8:NC_040083.1/CM011811.1; chromosome 9:NC_040084.1/CM011812.1; chromosome 10:NC_040085.1/CM011813.1; chromosome 11:NC_040086.1/CM011814.1; chromosome 12:NC_040087.1/CM011815.1; chromosome 13:NC_040088.1/CM011816.1; chromosome 14:NC_040089.1/CM011817.1; chromosome 15:NC_040090.1/CM011818.1; chromosome 16:NC_040091.1/CM011819.1; chromosome 17:NC_040092.1/CM011820.1; chromosome 18:NC_040093.1/CM011821.1; chromosome 19:NC_040094.1/CM011822.1; chromosome 20:NC_040095.1/CM011823.1; chromosome 21:NC_040096.1/CM011824.1; chromosome 22:NC_040097.1/CM011825.1; chromosome 23:NC_040098.1/CM011826.1; chromosome 24:NC_040099.1/CM011827.1; chromosome 25:NC_040100.1/CM011828.1; chromosome 26:NC_040101.1/CM011829.1; chromosome 27:NC_040102.1/CM011830.1; chromosome 28:NC_040103.1/CM011831.1; chromosome 29:NC_040104.1/CM011832.1; chromosome X:NC_040105.1/CM011833.1; mitochondrion MT:CM010492.2,PUFS02,1250,54075,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/369/695/GCA_003369695.2_UOA_Brahman_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/695/GCF_003369695.1_UOA_Brahman_1,
Crypturellus cinnamomeus,Eukaryota;Animals;Birds,337707,SAMN08476456,PRJNA433110,GCA_003342915.1,Scaffold,1122.05,41.7,,PTEZ01,8086,0,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/915/GCA_003342915.1_cryCin1,,
Neonectria hederae,Eukaryota;Fungi;Ascomycetes,CBS 714.97,SAMN09242090,PRJNA472761,GCA_003385265.1,Scaffold,43.2858,49.4,,QGQB01,508,0,2018-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/385/265/GCA_003385265.1_ASM338526v1,,
Corinectria fuckeliana,Eukaryota;Fungi;Ascomycetes,CBS 125109,SAMN13483921,PRJNA593731,GCA_019137255.1,Scaffold,42.2503,50,,WPDH01,737,0,2021-07-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/137/255/GCA_019137255.1_ASM1913725v1,,
Neonectria punicea,Eukaryota;Fungi;Ascomycetes,CBS 119724,SAMN09242091,PRJNA472761,GCA_003385315.1,Scaffold,41.4748,52.7,,QGQA01,1779,0,2018-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/385/315/GCA_003385315.1_ASM338531v1,,
Colletotrichum lentis,Eukaryota;Fungi;Ascomycetes,CT-30,SAMN07660998,PRJNA407672,GCA_003386485.1,Scaffold,56.1001,49.1,,NWBT01,50,0,2018-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/386/485/GCA_003386485.1_ASM338648v1,,
Mucuna pruriens,Eukaryota;Plants;Land Plants,JCA_2017,SAMN07821433,PRJNA414658,GCA_003370565.1,Scaffold,397.042,31.4,,QJKJ01,18487,56019,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/370/565/GCA_003370565.1_ASM337056v1,,
Metschnikowia reukaufii,Eukaryota;Fungi;Ascomycetes,MR1,SAMN05510675,PRJNA336445,GCA_003401635.1, Chromosome,15.5523,41.8307,chromosome 1:CM010597.1; chromosome 2:CM010598.1; chromosome 3:CM010599.1; chromosome 4:CM010600.1; chromosome 5:CM010601.1; chromosome 6:CM010602.1; chromosome 7:CM010603.1; chromosome 8:CM010604.1; mitochondrion MT:CM010605.1,MDYR01,9,0,2018-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/635/GCA_003401635.1_MR1_a14_ref,,25
Harmonia axyridis,Eukaryota;Animals;Insects,,SAMEA7520208,PRJEB47373,GCA_914767665.1, Chromosome,425.545,35.1438,chromosome 1:OU611927.1; chromosome 2:OU611928.1; chromosome 3:OU611929.1; chromosome 4:OU611930.1; chromosome 5:OU611931.1; chromosome 6:OU611932.1; chromosome 7:OU611934.1; chromosome X:OU611933.1; mitochondrion MT:OU611935.1,CAJZBN01,14,0,2021-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/914/767/665/GCA_914767665.1_icHarAxyr1.1,,
Echium plantagineum,Eukaryota;Plants;Land Plants,,SAMN06972310,PRJNA386536,GCA_003412495.2, Chromosome,349.028,34.7153,linkage group LG1:CM016562.1; linkage group LG2:CM016563.1; linkage group LG3:CM016561.1; linkage group LG4:CM016564.1; linkage group LG5:CM016565.1; linkage group LG6:CM016566.1; linkage group LG7:CM016567.1; linkage group LG8:CM016568.1,QFAX02,809,0,2018-08-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/412/495/GCA_003412495.2_ASM341249v2,,
Aquanectria penicillioides,Eukaryota;Fungi;Ascomycetes,NNIBRFG19,SAMN08769082,PRJNA445064,GCA_003415625.1,Scaffold,53.7635,47.9,,PYIU01,13,0,2018-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/415/625/GCA_003415625.1_ASM341562v1,,
Articulospora tetracladia,Eukaryota;Fungi;Ascomycetes,NNIBRFG329,SAMN08769848,PRJNA445174,GCA_003415645.1,Scaffold,41.8468,48.4,,PYIV01,20,0,2018-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/415/645/GCA_003415645.1_ASM341564v1,,
Xylaria polymorpha,Eukaryota;Fungi;Ascomycetes,DSM 105756,SAMN07426886,PRJNA396474,GCA_003426235.1,Scaffold,43.517,48.5,,NQIM01,947,0,2018-08-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/426/235/GCA_003426235.1_ASM342623v1,,
Xylaria longipes,Eukaryota;Fungi;Ascomycetes,IHI A66,SAMN07418608,PRJNA395971,GCA_003426265.1,Contig,43.1919,48.5,,NQIL01,1006,12638,2018-08-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/426/265/GCA_003426265.1_ASM342626v1,,24
Aspergillus tanneri,Eukaryota;Fungi;Ascomycetes,NIH1004,SAMN09761659,PRJNA625766,GCA_003426965.1,Contig,38.7194,47.3,,QUQM01,14,11682,2018-08-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/426/965/GCA_003426965.1_ASM342696v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/965/GCF_003426965.1_ASM342696v1,30
Chara braunii,Eukaryota;Plants;Other Plants,S276,SAMD00044344,PRJDB3348,GCA_003427395.1,Scaffold,1751.21,39.5,,BFEA01,11654,35665,2018-07-13T21:44:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/427/395/GCA_003427395.1_Cbr_1.0,,
Yarrowia hollandica,Eukaryota;Fungi;Ascomycetes,CBS 4855,SAMEA4824174,PRJEB18085,GCA_900519065.1,Scaffold,20.0688,47.8,,ULGV01,18,0,2018-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/065/GCA_900519065.1_YAHO0,,
Yarrowia osloensis,Eukaryota;Fungi;Ascomycetes,CBS 10146,SAMEA4824176,PRJEB18087,GCA_900519015.1,Scaffold,23.2467,50.6,,ULGU01,37,0,2018-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/015/GCA_900519015.1_YAOS0,,
Yarrowia porcina,Eukaryota;Fungi;Ascomycetes,CBS 12935,SAMEA4824196,PRJEB18089,GCA_900519025.1,Scaffold,30.4342,43.7,,ULGT01,43,0,2018-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/025/GCA_900519025.1_YAPO0,,25
Yarrowia yakushimensis,Eukaryota;Fungi;Ascomycetes,CBS 10253,SAMEA4824197,PRJEB18090,GCA_900518995.1,Scaffold,18.8386,48.3,,ULGW01,7,0,2018-08-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/518/995/GCA_900518995.1_YAYA0,,25
Saccharomyces jurei,Eukaryota;Fungi;Ascomycetes,,SAMEA104589863,PRJEB24816,GCA_900290405.1,Complete,11.9388,37.9003,chromosome II:LT986463.1; chromosome III:LT986464.1; chromosome IV:LT986465.1; chromosome V:LT986468.1; chromosome VIII:LT986471.1; chromosome IX:LT986466.1; chromosome X:LT986472.1; chromosome XI:LT986473.1; chromosome XIV:LT986476.1; chromosome XV:LT986477.1; chromosome XVI:LT986478.1; chromosome I.1_XIII.2:LT986461.1; chromosome I.2_XIII.1:LT986462.1; chromosome VI.1_VII.2:LT986469.1; chromosome VI.2_VII.1:LT986470.1; chromosome XII.1:LT986474.1; chromosome XII.2:LT986475.1; mitochondrion MT:LT986467.1,,18,0,2018-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/290/405/GCA_900290405.1_SacJureiUoM1,,
Yarrowia bubula,Eukaryota;Fungi;Ascomycetes,CBS 12934,SAMEA4824134,PRJEB18081,GCA_900519075.1,Scaffold,20.902,46.2,,ULGX01,28,0,2018-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/075/GCA_900519075.1_YABU0,,25
Yarrowia divulgata,Eukaryota;Fungi;Ascomycetes,CBS 11013,SAMEA4824164,PRJEB18083,GCA_900519045.1,Scaffold,21.2421,50.1,,ULGQ01,19,0,2018-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/045/GCA_900519045.1_YADI0,,27
Crotalus viridis viridis,Eukaryota;Animals;Reptiles,,SAMN07738522,PRJNA413201,GCA_003400415.2, Chromosome,1340.2,39.3623,chromosome 1:CM012306.1; chromosome 2:CM012307.1; chromosome 3:CM012308.1; chromosome 4:CM012309.1; chromosome 5:CM012310.1; chromosome 6:CM012311.1; chromosome 7:CM012312.1; chromosome 9:CM012313.1; chromosome 10:CM012314.1; chromosome 11:CM012315.1; chromosome 12:CM012316.1; chromosome 13:CM012317.1; chromosome 14:CM012318.1; chromosome 15:CM012319.1; chromosome 16:CM012320.1; chromosome 17:CM012321.1; chromosome 18:CM012322.1; chromosome Z:CM012323.1,PDHV02,7043,0,2018-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0,,
Syrmaticus mikado,Eukaryota;Animals;Birds,TWDZ01,SAMN07211794,PRJNA389983,GCA_003435085.1,Scaffold,1066.43,40.5,,QGNR01,71281,0,2018-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/435/085/GCA_003435085.1_NTU_Smik_1.2,,
Trichoderma atrobrunneum,Eukaryota;Fungi;Ascomycetes,ITEM 908,SAMN08325511,PRJNA428936,GCA_003439915.1,Contig,39.1494,49.2,,PNRQ01,847,0,2018-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/439/915/GCA_003439915.1_ASM343991v1,,
Hondaea fermentalgiana,Eukaryota;Protists;Other Protists,FCC1311,SAMN07419178,PRJNA396017,GCA_014084085.1,Scaffold,38.9434,56.8,,NPFB01,2232,0,2020-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/084/085/GCA_014084085.1_ASM1408408v1,,
Yamadazyma tenuis ATCC 10573,Eukaryota;Fungi;Ascomycetes,ATCC 10573,SAMN00715317,PRJNA33673,GCA_000223465.1,Scaffold,10.747,43,,AEIM01,25,6985,2011-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/465/GCA_000223465.1_Candida_tenuis_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/465/GCF_000223465.1_Candida_tenuis_v1.0,25
[Candida] hispaniensis,Eukaryota;Fungi;Ascomycetes,CBS 9996,SAMEA4837037,PRJEB18079,GCA_900535975.1, Chromosome,10.6526,41.6468,chromosome A:LS992270.1; chromosome B:LS992271.1; chromosome C:LS992272.1; chromosome D:LS992273.1; chromosome E:LS992274.1; chromosome F:LS992275.1,,6,0,2018-08-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/535/975/GCA_900535975.1_OLHI0,,25
Morchella importuna,Eukaryota;Fungi;Ascomycetes,M04M26,SAMN09514284,PRJNA478366,GCA_003444635.1,Scaffold,51.0782,47.3,,QOKS01,106,0,2018-09-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/444/635/GCA_003444635.1_ASM344463v1,,25
Ceratocystis smalleyi,Eukaryota;Fungi;Ascomycetes,CMW14800,SAMN06850268,PRJNA384888,GCA_003449175.1,Scaffold,25.7631,50.7,,NETT01,1242,0,2018-09-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/449/175/GCA_003449175.1_ASM344917v1,,
Trifolium medium,Eukaryota;Plants;Land Plants,8-Oct,SAMN04556701,PRJNA315359,GCA_003490085.1,Scaffold,492.653,33.5,,LXQA01,1471389,0,2018-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/490/085/GCA_003490085.1_ASM349008v1,,
